Country,Region,Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita) dollars
Afghanistan,Asia (Ex. Near East),48.0,163.07,700
Albania,Eastern Europe,124.6,21.52,4500
Algeria,Northern Africa,13.8,31.0,6000
American Samoa,Oceania,290.4,9.27,8000
Andorra,Western Europe,152.1,4.05,19000
Angola,Sub-Saharan Africa,9.7,191.19,1900
Anguilla,Latin Amer. & Carib,132.1,21.03,8600
Antigua & Barbuda,Latin Amer. & Carib,156.0,19.46,11000
Argentina,Latin Amer. & Carib,14.4,15.18,11200
Armenia,C.W. Of Ind. States,99.9,23.28,3500
Aruba,Latin Amer. & Carib,-1,5.89,28000
Australia,Oceania,2.6,4.69,29000
Austria,Western Europe,97.7,4.66,30000
Azerbaijan,C.W. Of Ind. States,91.9,81.74,3400
"Bahamas, The",Latin Amer. & Carib,21.8,25.21,16700
Bahrain,Near East,1050.5,17.27,16900
Bangladesh,Asia (Ex. Near East),1023.4,62.6,1900
Barbados,Latin Amer. & Carib,649.5,12.5,15700
Belarus,C.W. Of Ind. States,49.6,13.37,6100
Belgium,Western Europe,340.0,4.68,29100
Belize,Latin Amer. & Carib,12.5,25.69,4900
Benin,Sub-Saharan Africa,69.8,85.0,1100
Bermuda,Northern America,1241.0,8.53,36000
Bhutan,Asia (Ex. Near East),48.5,100.44,1300
Bolivia,Latin Amer. & Carib,8.2,53.11,2400
Bosnia & Herzegovina,Eastern Europe,88.0,21.05,6100
Botswana,Sub-Saharan Africa,2.7,54.58,9000
Brazil,Latin Amer. & Carib,22.1,29.61,7600
British Virgin Is.,Latin Amer. & Carib,151.0,18.05,16000
Brunei,Asia (Ex. Near East),65.8,12.61,18600
Bulgaria,Eastern Europe,66.6,20.55,7600
Burkina Faso,Sub-Saharan Africa,50.7,97.57,1100
Burma,Asia (Ex. Near East),69.8,67.24,1800
Burundi,Sub-Saharan Africa,290.7,69.29,600
Cambodia,Asia (Ex. Near East),76.7,71.48,1900
Cameroon,Sub-Saharan Africa,36.5,68.26,1800
Canada,Northern America,3.3,4.75,29800
Cape Verde,Sub-Saharan Africa,104.4,47.77,1400
Cayman Islands,Latin Amer. & Carib,173.4,8.19,35000
Central African Rep.,Sub-Saharan Africa,6.9,91.0,1100
Chad,Sub-Saharan Africa,7.7,93.82,1200
Chile,Latin Amer. & Carib,21.3,8.8,9900
China,Asia (Ex. Near East),136.9,24.18,5000
Colombia,Latin Amer. & Carib,38.3,20.97,6300
Comoros,Sub-Saharan Africa,318.4,74.93,700
"Congo, Dem. Rep.",Sub-Saharan Africa,26.7,94.69,700
"Congo, Repub. of the",Sub-Saharan Africa,10.8,93.86,700
Costa Rica,Latin Amer. & Carib,79.8,9.95,9100
Cote d'Ivoire,Sub-Saharan Africa,54.8,90.83,1400
Croatia,Eastern Europe,79.5,6.84,10600
Cuba,Latin Amer. & Carib,102.7,6.33,2900
Cyprus,Near East,-1,7.18,19200
Denmark,Western Europe,126.5,4.56,31100
Djibouti,Sub-Saharan Africa,21.2,104.13,1300
Dominica,Latin Amer. & Carib,91.4,14.15,5400
Dominican Republic,Latin Amer. & Carib,188.5,32.38,6000
East Timor,Asia (Ex. Near East),70.8,47.41,500
Ecuador,Latin Amer. & Carib,47.8,23.66,3300
Egypt,Northern Africa,78.8,32.59,4000
El Salvador,Latin Amer. & Carib,324.3,25.1,4800
Equatorial Guinea,Sub-Saharan Africa,19.3,85.13,2700
Eritrea,Sub-Saharan Africa,39.5,74.87,700
Estonia,Baltics,29.3,7.87,12300
Ethiopia,Sub-Saharan Africa,66.3,95.32,700
Faroe Islands,Western Europe,33.8,6.24,22000
Fiji,Oceania,49.6,12.62,5800
Finland,Western Europe,15.5,3.57,27400
France,Western Europe,111.3,4.26,27600
French Guiana,Latin Amer. & Carib,2.2,12.07,8300
French Polynesia,Oceania,65.9,8.44,17500
Gabon,Sub-Saharan Africa,5.3,53.64,5500
"Gambia, The",Sub-Saharan Africa,145.3,72.02,1700
Gaza Strip,Near East,3968.8,22.93,600
Georgia,C.W. Of Ind. States,66.9,18.59,2500
Germany,Western Europe,230.9,4.16,27600
Ghana,Sub-Saharan Africa,93.6,51.43,2200
Gibraltar,Western Europe,3989.7,5.13,17500
Greece,Western Europe,81.0,5.53,20000
Greenland,Northern America,0.0,15.82,20000
Grenada,Latin Amer. & Carib,260.8,14.62,5000
Guadeloupe,Latin Amer. & Carib,254.4,8.6,8000
Guam,Oceania,316.1,6.94,21000
Guatemala,Latin Amer. & Carib,112.9,35.93,4100
Guernsey,Western Europe,838.6,4.71,20000
Guinea,Sub-Saharan Africa,39.4,90.37,2100
Guinea-Bissau,Sub-Saharan Africa,39.9,107.17,800
Guyana,Latin Amer. & Carib,3.6,33.26,4000
Haiti,Latin Amer. & Carib,299.4,73.45,1600
Honduras,Latin Amer. & Carib,65.4,29.32,2600
Hong Kong,Asia (Ex. Near East),6355.7,2.97,28800
Hungary,Eastern Europe,107.3,8.57,13900
Iceland,Western Europe,-1,3.31,30900
India,Asia (Ex. Near East),333.2,56.29,2900
Indonesia,Asia (Ex. Near East),127.9,35.6,3200
Iran,Asia (Ex. Near East),41.7,41.58,7000
Iraq,Near East,61.3,50.25,1500
Ireland,Western Europe,57.8,5.39,29600
Isle of Man,Western Europe,131.9,5.93,21000
Israel,Near East,305.8,7.03,19800
Italy,Western Europe,193.0,5.94,26700
Japan,Asia (Ex. Near East),337.4,3.26,28200
Jersey,Western Europe,785.2,5.24,24800
Jordan,Near East,64.0,17.35,4300
Kazakhstan,C.W. Of Ind. States,5.6,29.21,6300
Kenya,Sub-Saharan Africa,59.6,61.47,1000
Kiribati,Oceania,130.0,48.52,800
"Korea, North",Asia (Ex. Near East),191.8,24.04,1300
"Korea, South",Asia (Ex. Near East),496.0,7.05,17800
Kuwait,Near East,135.7,9.95,19000
Kyrgyzstan,C.W. Of Ind. States,26.3,35.64,1600
Latvia,Baltics,35.2,9.55,10200
Lebanon,Near East,372.5,24.52,4800
Lesotho,Sub-Saharan Africa,66.6,84.23,3000
Liberia,Sub-Saharan Africa,27.3,128.87,1000
Libya,Northern Africa,3.4,24.6,6400
Liechtenstein,Western Europe,212.4,4.7,25000
Lithuania,Baltics,55.0,6.89,11400
Luxembourg,Western Europe,183.5,4.81,55100
Macau,Asia (Ex. Near East),16183.0,4.39,19400
Macedonia,Eastern Europe,80.9,10.09,6700
Madagascar,Sub-Saharan Africa,31.7,76.83,800
Malawi,Sub-Saharan Africa,109.8,103.32,600
Malaysia,Asia (Ex. Near East),-1,17.7,9000
Maldives,Asia (Ex. Near East),1196.7,56.52,3900
Mali,Sub-Saharan Africa,9.5,116.79,900
Malta,Western Europe,1266.5,3.89,17700
Marshall Islands,Oceania,5.1,29.45,1600
Martinique,Latin Amer. & Carib,396.5,7.09,14400
Mauritania,Sub-Saharan Africa,3.1,70.89,1800
Mauritius,Sub-Saharan Africa,608.3,15.03,11400
Mayotte,Sub-Saharan Africa,538.1,62.4,2600
Mexico,Latin Amer. & Carib,54.5,20.91,9000
"Micronesia, Fed. St.",Oceania,153.9,30.21,2000
Moldova,C.W. Of Ind. States,132.0,40.42,1800
Monaco,Western Europe,16271.5,5.43,27000
Mongolia,Asia (Ex. Near East),1.8,53.79,1800
Montserrat,Latin Amer. & Carib,92.5,7.35,3400
Morocco,Northern Africa,74.4,41.62,4000
Mozambique,Sub-Saharan Africa,24.6,130.79,1200
Namibia,Sub-Saharan Africa,2.5,48.98,7200
Nauru,Oceania,632.7,9.95,5000
Nepal,Asia (Ex. Near East),192.2,66.98,1400
Netherlands,Western Europe,397.1,5.04,28600
Netherlands Antilles,Latin Amer. & Carib,231.0,10.03,11400
New Caledonia,Oceania,11.5,7.72,15000
New Zealand,Oceania,15.2,5.85,21600
Nicaragua,Latin Amer. & Carib,43.0,29.11,2300
Niger,Sub-Saharan Africa,9.9,121.69,800
Nigeria,Sub-Saharan Africa,142.7,98.8,900
N. Mariana Islands,Oceania,172.9,7.11,12500
Norway,Western Europe,14.2,3.7,37800
Oman,Near East,14.6,19.51,13100
Pakistan,Asia (Ex. Near East),206.2,72.44,2100
Palau,Oceania,44.9,14.84,9000
Panama,Latin Amer. & Carib,40.8,20.47,6300
Papua New Guinea,Oceania,12.3,51.45,2200
Paraguay,Latin Amer. & Carib,16.0,25.63,4700
Peru,Latin Amer. & Carib,22.0,31.94,5100
Philippines,Asia (Ex. Near East),298.2,23.51,4600
Poland,Eastern Europe,123.3,8.51,11100
Portugal,Western Europe,114.8,5.05,18000
Puerto Rico,Latin Amer. & Carib,284.8,8.24,16800
Qatar,Near East,77.4,18.61,21500
Reunion,Sub-Saharan Africa,312.9,7.78,5800
Romania,Eastern Europe,93.9,26.43,7000
Russia,C.W. Of Ind. States,8.4,15.39,8900
Rwanda,Sub-Saharan Africa,328.4,91.23,1300
Saint Helena,Sub-Saharan Africa,18.2,19.0,2500
Saint Kitts & Nevis,Latin Amer. & Carib,149.9,14.49,8800
Saint Lucia,Latin Amer. & Carib,273.5,13.53,5400
St Pierre & Miquelon,Northern America,29.0,7.54,6900
Saint Vincent and the Grenadines,Latin Amer. & Carib,303.0,14.78,2900
Samoa,Oceania,60.1,27.71,5600
San Marino,Western Europe,479.5,5.73,34600
Sao Tome & Principe,Sub-Saharan Africa,193.2,43.11,1200
Saudi Arabia,Near East,-1,13.24,11800
Senegal,Sub-Saharan Africa,61.1,55.51,1600
Serbia,Eastern Europe,106.3,12.89,2200
Sierra Leone,Sub-Saharan Africa,83.7,143.64,500
Singapore,Asia (Ex. Near East),6482.2,2.29,23700
Slovakia,Eastern Europe,111.4,7.41,13300
Slovenia,Eastern Europe,99.2,4.45,19000
Solomon Islands,Oceania,19.4,21.29,1700
Somalia,Sub-Saharan Africa,13.9,116.7,500
South Africa,Sub-Saharan Africa,36.2,61.81,10700
Spain,Western Europe,80.0,4.42,22000
Sri Lanka,Asia (Ex. Near East),308.2,14.35,3700
Sudan,Sub-Saharan Africa,16.5,62.5,1900
Suriname,Latin Amer. & Carib,2.7,23.57,400000
Swaziland,Sub-Saharan Africa,65.5,69.27,4900
Sweden,Western Europe,20.0,2.77,26800
Switzerland,Western Europe,182.2,4.39,32700
Syria,Near East,102.0,29.53,3300
Taiwan,Asia (Ex. Near East),640.3,6.4,23400
Tajikistan,C.W. Of Ind. States,51.2,110.76,1000
Tanzania,Sub-Saharan Africa,39.6,98.54,600
Thailand,Asia (Ex. Near East),125.7,20.48,7400
Togo,Sub-Saharan Africa,97.7,66.61,1500
Tonga,Oceania,153.3,12.62,2200
Trinidad & Tobago,Latin Amer. & Carib,207.9,24.31,9500
Tunisia,Northern Africa,62.2,24.77,6900
Turkey,Near East,90.2,41.04,6700
Turkmenistan,C.W. Of Ind. States,10.3,73.08,5800
Turks & Caicos Is,Latin Amer. & Carib,49.2,15.67,9600
Tuvalu,Oceania,454.2,20.03,1100
Uganda,Sub-Saharan Africa,119.5,67.83,1400
Ukraine,C.W. Of Ind. States,77.4,20.34,5400
United Arab Emirates,Near East,31.4,14.51,23200
United Kingdom,Western Europe,247.6,5.16,27700
United States,Northern America,31.0,6.5,37800
Uruguay,Latin Amer. & Carib,19.5,11.95,12800
Uzbekistan,C.W. Of Ind. States,61.0,71.1,1700
Vanuatu,Oceania,17.1,55.16,2900
Venezuela,Latin Amer. & Carib,28.2,22.2,4800
Vietnam,Asia (Ex. Near East),256.1,25.95,2500
Virgin Islands,Latin Amer. & Carib,56.9,8.03,17200
West Bank,Near East,419.9,19.62,800
Yemen,Near East,40.6,61.5,800
Zambia,Sub-Saharan Africa,15.3,88.29,800
Zimbabwe,Sub-Saharan Africa,31.3,67.69,1900
